ID;System;Conc (mol/L);T (K);PCO2 (kPa);aCO2 (mol CO2/mol amine);Reference;DOI
903;AMP;3;313.15;10.322;0.72;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
904;AMP;3;313.15;15.386;0.765;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
905;AMP;3;313.15;18.537;0.785;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
906;AMP;3;313.15;26.912;0.817;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
907;AMP;3;313.15;32.428;0.83;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
908;AMP;3;313.15;99.233;0.92;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
909;AMP;3;313.15;147.973;0.946;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
910;AMP;3;313.15;178.302;0.959;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
911;AMP;3;313.15;245.436;0.985;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
912;AMP;2;313.15;2.075;0.494;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
913;AMP;2;313.15;8.083;0.729;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
914;AMP;2;313.15;9.772;0.746;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
915;AMP;2;313.15;54.811;0.918;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
916;AMP;2;313.15;95.228;0.947;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
917;AMP;2;313.15;259.082;1.014;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
918;AMP;2;313.15;398.834;1.043;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
919;AMP;2;313.15;624.915;1.056;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
920;AMP;2;313.15;1104.648;1.085;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
921;AMP;2;313.15;2165.599;1.123;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
922;AMP;3.5;323.15;4.217;0.465;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
923;AMP;3.5;323.15;7.313;0.578;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
924;AMP;3.5;323.15;19.202;0.683;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
925;AMP;3.5;323.15;32.225;0.716;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
926;AMP;3.5;323.15;53.179;0.729;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
927;AMP;3.5;323.15;92.188;0.855;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
928;AMP;3.5;323.15;144.334;0.901;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
929;AMP;3.5;323.15;313.603;0.976;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
930;AMP;3.5;323.15;682.175;1.001;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
931;AMP;3.5;323.15;1383.6;1.064;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
932;AMP;3.5;323.15;3279.793;1.11;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
933;AMP;2;373.15;8.782;0.13;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
934;AMP;2;373.15;16.626;0.184;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
935;AMP;2;373.15;35.488;0.281;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
936;AMP;2;373.15;71.86;0.415;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
937;AMP;2;373.15;172.828;0.582;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
938;AMP;2;373.15;468.936;0.767;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
939;AMP;2;373.15;606.781;0.834;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
940;AMP;2;373.15;886.289;0.892;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
941;AMP;2;373.15;1459.766;0.989;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
942;AMP;2;373.15;1956.622;1.027;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
943;AMP;3.5;373.15;19.121;0.117;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
944;AMP;3.5;373.15;51.061;0.243;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
945;AMP;3.5;373.15;114.734;0.36;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
946;AMP;3.5;373.15;345.226;0.557;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
947;AMP;3.5;373.15;788.868;0.696;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
948;AMP;3.5;373.15;1192.895;0.75;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
949;AMP;3.5;373.15;1571.975;0.775;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
950;AMP;3.5;373.15;2143.548;0.817;Xu et al (1991);https://doi.org/10.1016/0255-2701(92)80002-K
951;AMPD;1;313.15;1.04;0.293;Baek et al (1998);https://doi.org/10.1021/je980024+
952;AMPD;1;313.15;7.37;0.523;Baek et al (1998);https://doi.org/10.1021/je980024+
953;AMPD;1;313.15;65.5;0.844;Baek et al (1998);https://doi.org/10.1021/je980024+
954;AMPD;1;313.15;314;0.945;Baek et al (1998);https://doi.org/10.1021/je980024+
955;AMPD;1;313.15;927;1.069;Baek et al (1998);https://doi.org/10.1021/je980024+
956;AMPD;1;313.15;2991;1.156;Baek et al (1998);https://doi.org/10.1021/je980024+
957;AMPD;2.9;303.15;0.6;0.196;Baek et al (1998);https://doi.org/10.1021/je980024+
958;AMPD;2.9;303.15;1.72;0.317;Baek et al (1998);https://doi.org/10.1021/je980024+
959;AMPD;2.9;303.15;5.59;0.492;Baek et al (1998);https://doi.org/10.1021/je980024+
960;AMPD;2.9;303.15;23.8;0.669;Baek et al (1998);https://doi.org/10.1021/je980024+
961;AMPD;2.9;303.15;97.3;0.823;Baek et al (1998);https://doi.org/10.1021/je980024+
962;AMPD;2.9;303.15;389;0.92;Baek et al (1998);https://doi.org/10.1021/je980024+
963;AMPD;2.9;303.15;1065;0.987;Baek et al (1998);https://doi.org/10.1021/je980024+
964;AMPD;2.9;303.15;2911;1.017;Baek et al (1998);https://doi.org/10.1021/je980024+
965;AMPD;2.9;313.15;0.75;0.147;Baek et al (1998);https://doi.org/10.1021/je980024+
966;AMPD;2.9;313.15;1.47;0.199;Baek et al (1998);https://doi.org/10.1021/je980024+
967;AMPD;2.9;313.15;5.57;0.362;Baek et al (1998);https://doi.org/10.1021/je980024+
968;AMPD;2.9;313.15;19.3;0.54;Baek et al (1998);https://doi.org/10.1021/je980024+
969;AMPD;2.9;313.15;96.2;0.756;Baek et al (1998);https://doi.org/10.1021/je980024+
970;AMPD;2.9;313.15;349;0.859;Baek et al (1998);https://doi.org/10.1021/je980024+
971;AMPD;2.9;313.15;1064;0.964;Baek et al (1998);https://doi.org/10.1021/je980024+
972;AMPD;2.9;313.15;3064;1.002;Baek et al (1998);https://doi.org/10.1021/je980024+
973;AMPD;2.9;333.15;2.06;0.115;Baek et al (1998);https://doi.org/10.1021/je980024+
974;AMPD;2.9;333.15;6.59;0.206;Baek et al (1998);https://doi.org/10.1021/je980024+
975;AMPD;2.9;333.15;18.9;0.313;Baek et al (1998);https://doi.org/10.1021/je980024+
976;AMPD;2.9;333.15;78;0.538;Baek et al (1998);https://doi.org/10.1021/je980024+
977;AMPD;2.9;333.15;277;0.732;Baek et al (1998);https://doi.org/10.1021/je980024+
978;AMPD;2.9;333.15;807;0.865;Baek et al (1998);https://doi.org/10.1021/je980024+
979;AMPD;2.9;333.15;2894;0.962;Baek et al (1998);https://doi.org/10.1021/je980024+
980;HMDA;0.9;303.15;2.313;1.2;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
981;HMDA;0.9;303.15;3.759;1.287;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
982;HMDA;0.9;303.15;13.301;1.602;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
983;HMDA;0.9;303.15;27.181;1.748;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
984;HMDA;0.9;303.15;44.53;1.8;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
985;HMDA;0.9;303.15;59.855;1.83;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
986;HMDA;0.9;303.15;84.723;1.872;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
987;HMDA;0.9;303.15;104.386;1.913;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
988;HMDA;0.9;313.15;0.867;0.991;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
989;HMDA;0.9;313.15;2.602;1.104;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
990;HMDA;0.9;313.15;15.325;1.435;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
991;HMDA;0.9;313.15;37.301;1.609;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
992;HMDA;0.9;313.15;55.807;1.696;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
993;HMDA;0.9;313.15;69.687;1.739;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
994;HMDA;0.9;313.15;81.831;1.774;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
995;HMDA;0.9;313.15;89.06;1.791;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
996;HMDA;0.9;313.15;108.145;1.835;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
997;HMDA;0.9;323.15;2.892;1.017;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
998;HMDA;0.9;323.15;21.108;1.374;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
999;HMDA;0.9;323.15;43.084;1.509;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1000;HMDA;0.9;323.15;54.651;1.552;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1001;HMDA;0.9;323.15;71.711;1.609;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1002;HMDA;0.9;323.15;82.41;1.639;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1003;HMDA;0.9;323.15;96.578;1.674;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1004;HMDA;0.9;323.15;109.012;1.704;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1005;HMDA;0.9;333.15;2.313;0.891;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1006;HMDA;0.9;333.15;15.325;1.13;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1007;HMDA;0.9;333.15;34.12;1.3;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1008;HMDA;0.9;333.15;44.819;1.348;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1009;HMDA;0.9;333.15;62.458;1.441;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1010;HMDA;0.9;333.15;70.265;1.467;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1011;HMDA;0.9;333.15;83.277;1.5;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1012;HMDA;0.9;333.15;94.554;1.539;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1013;HMDA;0.9;333.15;108.145;1.58;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1014;HMDA;1.7;303.15;1.39;1.022;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1015;HMDA;1.7;303.15;3.474;1.118;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1016;HMDA;1.7;303.15;15.633;1.367;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1017;HMDA;1.7;303.15;30.918;1.484;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1018;HMDA;1.7;303.15;46.203;1.562;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1019;HMDA;1.7;303.15;66.005;1.631;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1020;HMDA;1.7;303.15;81.985;1.674;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1021;HMDA;1.7;303.15;103.176;1.724;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1022;HMDA;1.7;313.15;2.432;0.985;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1023;HMDA;1.7;313.15;14.243;1.228;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1024;HMDA;1.7;313.15;31.96;1.404;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1025;HMDA;1.7;313.15;47.94;1.47;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1026;HMDA;1.7;313.15;64.615;1.526;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1027;HMDA;1.7;313.15;75.385;1.555;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1028;HMDA;1.7;313.15;94.144;1.599;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1029;HMDA;1.7;313.15;110.124;1.622;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1030;HMDA;1.7;323.15;3.474;0.946;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1031;HMDA;1.7;323.15;21.191;1.159;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1032;HMDA;1.7;323.15;38.561;1.299;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1033;HMDA;1.7;323.15;46.551;1.329;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1034;HMDA;1.7;323.15;52.109;1.349;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1035;HMDA;1.7;323.15;64.963;1.386;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1036;HMDA;1.7;323.15;79.901;1.422;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1037;HMDA;1.7;323.15;101.439;1.463;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1038;HMDA;1.7;333.15;3.474;0.859;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1039;HMDA;1.7;333.15;12.854;0.974;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1040;HMDA;1.7;333.15;35.782;1.162;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1041;HMDA;1.7;333.15;53.151;1.242;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1042;HMDA;1.7;333.15;61.836;1.271;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1043;HMDA;1.7;333.15;73.3;1.306;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1044;HMDA;1.7;333.15;84.417;1.328;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1045;HMDA;1.7;333.15;100.05;1.356;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1046;HMDA;2.6;303.15;1.624;0.961;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1047;HMDA;2.6;303.15;4.548;1.06;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1048;HMDA;2.6;303.15;6.821;1.133;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1049;HMDA;2.6;303.15;12.343;1.189;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1050;HMDA;2.6;303.15;18.84;1.241;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1051;HMDA;2.6;303.15;30.858;1.325;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1052;HMDA;2.6;303.15;51.323;1.416;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1053;HMDA;2.6;303.15;76.659;1.485;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1054;HMDA;2.6;303.15;106.218;1.504;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1055;HMDA;2.6;313.15;2.923;0.93;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1056;HMDA;2.6;313.15;9.42;1.071;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1057;HMDA;2.6;313.15;14.942;1.138;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1058;HMDA;2.6;313.15;17.865;1.174;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1059;HMDA;2.6;313.15;23.387;1.207;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1060;HMDA;2.6;313.15;41.903;1.284;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1061;HMDA;2.6;313.15;59.443;1.338;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1062;HMDA;2.6;313.15;75.36;1.379;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1063;HMDA;2.6;313.15;92.575;1.4;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1064;HMDA;2.6;323.15;2.274;0.872;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1065;HMDA;2.6;323.15;3.898;0.909;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1066;HMDA;2.6;323.15;14.617;0.993;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1067;HMDA;2.6;323.15;29.234;1.108;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1068;HMDA;2.6;323.15;41.903;1.168;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1069;HMDA;2.6;323.15;57.169;1.199;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1070;HMDA;2.6;323.15;74.71;1.235;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1071;HMDA;2.6;323.15;94.849;1.283;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1072;HMDA;2.6;333.15;2.599;0.81;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1073;HMDA;2.6;333.15;6.172;0.86;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1074;HMDA;2.6;333.15;17.541;0.954;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1075;HMDA;2.6;333.15;32.483;1.038;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1076;HMDA;2.6;333.15;47.1;1.093;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1077;HMDA;2.6;333.15;63.341;1.136;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1078;HMDA;2.6;333.15;77.633;1.169;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1079;HMDA;2.6;333.15;122.135;1.241;Mondal et al (2015);https://doi.org/10.1016/j.fluid.2015.05.033
1080;DEA;1;373.15;3093.89;1.428569143;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1081;DEA;1;373.15;2334.4;1.29001227;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1082;DEA;1;373.15;1255.2;1.075010225;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1083;DEA;1;373.15;728.8;0.912564235;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1084;DEA;1;373.15;349.6;0.728618041;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1085;DEA;1;373.15;105.5;0.496893615;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1086;DEA;1;393.15;3711.6;1.333012679;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1087;DEA;1;393.15;2808.3;1.218344922;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1088;DEA;1;393.15;1645.1;1.027231993;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1089;DEA;1;393.15;932.9;0.883897296;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1090;DEA;1;393.15;484.7;0.716673483;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1091;DEA;1;393.15;133.1;0.477782322;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1092;DEA;1.9;373.15;2759.4;0.965120291;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1093;DEA;1.9;373.15;2159.5;0.871952738;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1094;DEA;1.9;373.15;1276.9;0.759673892;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1095;DEA;1.9;373.15;589.5;0.656950693;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1096;DEA;1.9;373.15;194.4;0.470615587;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1097;DEA;1.9;373.15;91;0.372670211;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1098;DEA;1.9;393.15;3378.6;0.910175324;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1099;DEA;1.9;393.15;2647.7;0.838507975;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1100;DEA;1.9;393.15;1654.2;0.731006953;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1101;DEA;1.9;393.15;896.4;0.613950284;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1102;DEA;1.9;393.15;293;0.441948648;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1103;DEA;1.9;393.15;144.8;0.358336742;Kennard et al (1984);https://doi.org/10.1021/je00037a025
1104;DEA;2.9;313.15;2.2;0.39;Kumar et al (2012);https://doi.org/10.1002/cjce.20598
1105;DEA;2.9;313.15;14.5;0.51;Kumar et al (2012);https://doi.org/10.1002/cjce.20598
1106;DEA;2.9;313.15;56;0.59;Kumar et al (2012);https://doi.org/10.1002/cjce.20598
1107;DEA;2.9;313.15;85.3;0.64;Kumar et al (2012);https://doi.org/10.1002/cjce.20598
1108;DEA;2.9;313.15;9.3;0.487;Seo et al (1996);https://doi.org/10.1021/je950197o
1109;DEA;2.9;313.15;22.8;0.548;Seo et al (1996);https://doi.org/10.1021/je950197o
1110;DEA;2.9;313.15;49.9;0.603;Seo et al (1996);https://doi.org/10.1021/je950197o
1111;DEA;2.9;313.15;100.3;0.634;Seo et al (1996);https://doi.org/10.1021/je950197o
1112;DEA;2.9;313.15;280.5;0.727;Seo et al (1996);https://doi.org/10.1021/je950197o
1113;DEA;2.9;333.15;4.85;0.407;Seo et al (1996);https://doi.org/10.1021/je950197o
1114;DEA;2.9;333.15;28.9;0.509;Seo et al (1996);https://doi.org/10.1021/je950197o
1115;DEA;2.9;333.15;75.5;0.557;Seo et al (1996);https://doi.org/10.1021/je950197o
1116;DEA;2.9;333.15;181.4;0.637;Seo et al (1996);https://doi.org/10.1021/je950197o
1117;DEA;2.9;333.15;239.8;0.668;Seo et al (1996);https://doi.org/10.1021/je950197o
1118;DEA;2.9;333.15;357.3;0.691;Seo et al (1996);https://doi.org/10.1021/je950197o
1119;DEA;2.9;353.15;11.6;0.404;Seo et al (1996);https://doi.org/10.1021/je950197o
1120;DEA;2.9;353.15;31.2;0.454;Seo et al (1996);https://doi.org/10.1021/je950197o
1121;DEA;2.9;353.15;51;0.47;Seo et al (1996);https://doi.org/10.1021/je950197o
1122;DEA;2.9;353.15;58.5;0.491;Seo et al (1996);https://doi.org/10.1021/je950197o
1123;DEA;2.9;353.15;160.9;0.543;Seo et al (1996);https://doi.org/10.1021/je950197o
1124;DEA;2;303.15;0.093;0.177;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1125;DEA;2;303.15;0.492;0.324;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1126;DEA;2;303.15;1.119;0.393;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1127;DEA;2;303.15;5.355;0.5;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1128;DEA;2;303.15;10.726;0.544;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1129;DEA;2;303.15;32.527;0.631;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1130;DEA;2;303.15;54.213;0.685;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1131;DEA;2;303.15;100.85;0.76;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1132;DEA;2;313.15;0.095;0.117;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1133;DEA;2;313.15;0.474;0.252;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1134;DEA;2;313.15;1.039;0.325;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1135;DEA;2;313.15;5.265;0.462;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1136;DEA;2;313.15;10.665;0.514;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1137;DEA;2;313.15;32.147;0.604;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1138;DEA;2;313.15;53.829;0.655;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1139;DEA;2;313.15;104.0727;0.732;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1140;DEA;2;323.15;0.09;0.08;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1141;DEA;2;323.15;0.449;0.178;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1142;DEA;2;323.15;1.04;0.256;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1143;DEA;2;323.15;5.11;0.411;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1144;DEA;2;323.15;10.035;0.471;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1145;DEA;2;323.15;30.358;0.567;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1146;DEA;2;323.15;50.763;0.616;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1147;DEA;2;323.15;98.17;0.694;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1148;DEA;4;303.15;0.098;0.061;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1149;DEA;4;303.15;0.986;0.309;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1150;DEA;4;303.15;4.893;0.471;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1151;DEA;4;303.15;9.863;0.524;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1152;DEA;4;303.15;29.358;0.588;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1153;DEA;4;303.15;48.931;0.633;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1154;DEA;4;303.15;98.628;0.671;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1155;DEA;4;313.15;0.095;0.091;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1156;DEA;4;313.15;0.951;0.281;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1157;DEA;4;313.15;5.259;0.441;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
1158;DEA;4;313.15;10.413;0.499;Suleiman et al (1998);https://doi.org/10.1205/026387698525603
